Loading channels: ...working... done
# Name                       Version           Build  Channel             
conda                         23.3.0 py310h5588dad_0  conda-forge         
conda                         23.3.0 py310haa95532_0  pkgs/main           
conda                         23.3.0 py311h1ea47a8_0  conda-forge         
conda                         23.3.0 py311haa95532_0  pkgs/main           
conda                         23.3.0  py38h32ec214_0  conda-forge         
conda                         23.3.0  py38haa244fe_0  conda-forge         
conda                         23.3.0  py38haa95532_0  pkgs/main           
conda                         23.3.0  py39h0d475fb_0  conda-forge         
conda                         23.3.0  py39haa95532_0  pkgs/main           
conda                         23.3.0  py39hcbf5309_0  conda-forge         
conda                         23.3.1 py310h5588dad_0  conda-forge         
